REF_DATE,Average hours worked-v1409156,Labour productivity-v1409153,Hours worked 5
1990-01-01,104.812,75.444,79.2
1990-04-01,104.834,74.96,79.025
1990-07-01,105.001,74.436,78.915
1990-10-01,104.37,74.456,78.02
1991-01-01,103.425,74.537,76.728
1991-04-01,102.871,74.941,76.547
1991-07-01,103.397,75.176,76.443
1991-10-01,103.568,75.228,76.367
1992-01-01,103.366,75.943,75.988
1992-04-01,103.156,76.291,75.679
1992-07-01,102.989,77.064,75.52
1992-10-01,103.103,77.464,75.601
1993-01-01,103.47,77.327,75.987
1993-04-01,103.595,77.976,76.127
1993-07-01,102.901,78.884,76.163
1993-10-01,103.506,78.581,76.766
1994-01-01,103.549,79.847,77.011
1994-04-01,103.882,80.257,77.874
1994-07-01,104.107,80.107,78.874
1994-10-01,104.836,79.752,79.677
1995-01-01,103.773,81.128,79.303
1995-04-01,104.025,81.025,79.27
1995-07-01,104.338,80.521,79.77
1995-10-01,104.31,80.641,80.061
1996-01-01,104.387,80.044,80.512
1996-04-01,104.202,80.229,80.806
1996-07-01,105.312,80.167,81.441
1996-10-01,105.278,80.73,81.411
1997-01-01,104.338,81.74,81.517
1997-04-01,104.808,82.264,82.091
1997-07-01,104.59,82.229,83.043
1997-10-01,105.204,82.493,83.592
1998-01-01,104.507,84.571,83.268
1998-04-01,104.681,83.782,83.918
1998-07-01,104.57,84.094,84.475
1998-10-01,104.646,84.689,85.159
1999-01-01,103.718,86.919,84.976
1999-04-01,104.837,86.094,86.385
1999-07-01,103.903,87.671,86.458
1999-10-01,104.927,87.691,87.702
2000-01-01,104.437,89.521,87.75
2000-04-01,104.225,90.601,87.946
2000-07-01,103.982,91.478,88.008
2000-10-01,103.792,90.799,88.6
2001-01-01,103.955,90.94,88.815
2001-04-01,103.357,91.927,88.437
2001-07-01,103.57,92.608,88.02
2001-10-01,102.725,93.735,87.685
2002-01-01,102.521,94.23,88.444
2002-04-01,102.486,93.726,89.236
2002-07-01,102.147,94.073,89.805
2002-10-01,102,93.736,90.322
2003-01-01,102.07,93.554,90.887
2003-04-01,101.654,94.394,90.299
2003-07-01,100.937,94.611,90.328
2003-10-01,102.051,93.319,91.836
2004-01-01,102.677,93.34,92.408
2004-04-01,102.826,94.081,92.869
2004-07-01,102.117,95.214,92.927
2004-10-01,102.231,95.684,93.219
2005-01-01,101.646,95.84,93.25
2005-04-01,101.856,96.041,93.67
2005-07-01,101.705,97.477,93.849
2005-10-01,101.925,98.117,94.246
2006-01-01,101.839,98.467,94.692
2006-04-01,101.924,97.656,95.331
2006-07-01,101.673,97.9,95.303
2006-10-01,101.237,98.093,95.513
2007-01-01,100.889,98.364,96.038
2007-04-01,101.577,98.347,97.014
2007-07-01,101.923,98.121,97.512
2007-10-01,101.602,97.238,98.177
2008-01-01,101.511,96.653,98.675
2008-04-01,101.393,97.033,98.605
2008-07-01,101.426,98.028,98.622
2008-10-01,100.649,97.55,97.854
2009-01-01,99.554,97.221,95.732
2009-04-01,99.028,97.46,94.438
2009-07-01,99.226,97.588,94.824
2009-10-01,99.255,98.309,95.421
2010-01-01,99.82,98.429,96.366
2010-04-01,99.609,97.728,97.172
2010-07-01,98.935,98.746,96.851
2010-10-01,99.669,98.675,97.794
2011-01-01,99.148,99.687,97.764
2011-04-01,99.097,99.542,98.154
2011-07-01,99.728,100.195,98.998
2011-10-01,99.793,101.049,99.034
2012-01-01,100.116,100.656,99.252
2012-04-01,99.933,99.841,100.145
2012-07-01,100.179,99.792,100.253
2012-10-01,99.775,99.719,100.351
2013-01-01,99.7,100.35,100.755
2013-04-01,100.096,100.89,100.846
2013-07-01,99.621,101.663,101.037
2013-10-01,99.745,102.787,101.292
2014-01-01,99.661,102.641,101.473
2014-04-01,99.171,104.464,100.89
2014-07-01,99.407,105.451,101.143
2014-10-01,99.499,105.972,101.368
2015-01-01,99.567,104.987,101.514
2015-04-01,99.604,103.775,102.136
2015-07-01,99.709,103.6,102.462
2015-10-01,99.372,103.486,102.561
2016-01-01,99.635,103.626,103.076
2016-04-01,99.257,103.032,102.907
2016-07-01,98.875,104.395,102.911
2016-10-01,98.561,104.579,103.196
2017-01-01,97.747,106.064,103.098
2017-04-01,98.577,106.103,104.093
2017-07-01,98.83,105.592,104.909
2017-10-01,98.552,106.181,105.082
2018-01-01,98.97,106.197,105.786
2018-04-01,99.065,106.556,106.142
2018-07-01,99.347,106.993,106.752
2018-10-01,99.168,106.554,107.277
2019-01-01,98.092,106.973,106.952
2019-04-01,98.291,107.49,107.705
2019-07-01,98.242,108.019,107.655
2019-10-01,98.007,107.946,107.629
2020-01-01,95.78,112.322,101.524
2020-04-01,93.981,126.657,80.248
2020-07-01,94.63,114.471,96.553
2020-10-01,96.109,112.009,100.584
2021-01-01,97.565,110.113,103.52
2021-04-01,96.769,110.731,102.608
