REF_DATE,Average of Bank rate-v39078,"Average of Government of Canada benchmark bond yields, 10 year-v39055",Average of Overnight money market financing-v39050
1990-01-01,12.88791764,10.27815351,12.68494006
1990-04-01,13.78338095,11.13755678,13.22506868
1990-07-01,13.20358586,10.77969251,13.43984886
1990-10-01,12.33484508,10.6750873,12.28055555
1991-01-01,10.49057576,9.778430016,11.01121032
1991-04-01,9.292825397,9.66231746,9.223015873
1991-07-01,8.820793651,9.707299145,8.74375
1991-10-01,7.909238095,8.651027676,8.098290598
1992-01-01,7.479280498,8.44002331,7.195616883
1992-04-01,6.64286648,8.538108466,6.392547123
1992-07-01,5.404529915,7.538696581,5.50534188
1992-10-01,7.431229798,7.789357864,7.611435786
1993-01-01,6.357448434,7.69215559,5.98406067
1993-04-01,5.232333333,7.503571429,4.526951058
1993-07-01,4.711632479,7.015896826,4.223809524
1993-10-01,4.487222222,6.765782829,4.306029041
1994-01-01,4.132924836,6.861319444,3.836197917
1994-04-01,6.378816527,8.491309524,5.677827381
1994-07-01,5.93039627,9.001423077,5.328445513
1994-10-01,6.063754468,9.092510823,5.228557901
1995-01-01,8.096355072,8.964399241,7.524404762
1995-04-01,7.744153491,8.111826156,7.720342903
1995-07-01,6.794230504,8.089530303,6.482636364
1995-10-01,6.345533911,7.481411863,6.06732665
1996-01-01,5.502160111,7.318066378,5.356601732
1996-04-01,5.049242424,7.759068543,4.822738095
1996-07-01,4.546936759,7.452010823,4.33545166
1996-10-01,3.465493444,6.390515152,3.255833333
1997-01-01,3.25,6.491909091,3.009151515
1997-04-01,3.261904762,6.543102453,3.026969697
1997-07-01,3.5,5.944624098,3.269595959
1997-10-01,3.951449275,5.592654363,3.726741855
1998-01-01,4.840909091,5.407249639,4.593665945
1998-04-01,5,5.339339105,4.757805195
1998-07-01,5.373376623,5.386464647,5.132079365
1998-10-01,5.422619048,4.98315873,5.195626984
1999-01-01,5.246376812,5.096978261,5.008289855
1999-04-01,4.837301587,5.323310967,4.670582251
1999-07-01,4.75,5.656031746,4.611428571
1999-10-01,4.871212121,6.088087302,4.677333333
2000-01-01,5.187715666,6.286110766,4.93770842
2000-04-01,5.746376812,6.011555024,5.494936204
2000-07-01,6,5.786454545,5.743954545
2000-10-01,6,5.617527151,5.752222222
2001-01-01,5.66403162,5.383333333,5.406012121
2001-04-01,4.949447895,5.720319625,4.688458774
2001-07-01,4.360507246,5.544672287,4.094202218
2001-10-01,2.976943346,5.272763728,2.712948724
2002-01-01,2.286231884,5.443878788,2.028019091
2002-04-01,2.5375,5.559515152,2.282951212
2002-07-01,2.960144928,5.098810245,2.706806544
2002-10-01,3,5.061424242,2.744191364
2003-01-01,3.079365079,4.990320346,2.823828023
2003-04-01,3.462121212,4.670634921,3.20311746
2003-07-01,3.210474308,4.780774892,2.951959812
2003-10-01,3,4.80044809,2.748404105
2004-01-01,2.719532279,4.43270842,2.464738043
2004-04-01,2.28030303,4.772861472,2.025851919
2004-07-01,2.314393939,4.661111111,2.065846032
2004-10-01,2.702380952,4.451746032,2.451442698
2005-01-01,2.75,4.274560606,2.493267727
2005-04-01,2.75,4.031933622,2.49216645
2005-07-01,2.818181818,3.896175325,2.563564986
2005-10-01,3.278318903,4.065047619,3.015754762
2006-01-01,3.758234519,4.132870945,3.478211881
2006-04-01,4.288405797,4.418899522,4.017803987
2006-07-01,4.5,4.255099567,4.237152424
2006-10-01,4.5,4.024168755,4.247119716
2007-01-01,4.5,4.095075758,4.236152576
2007-04-01,4.5,4.359028139,4.246040231
2007-07-01,4.727272727,4.458317384,4.449118603
2007-10-01,4.670634921,4.166648439,4.42932957
2008-01-01,4.145617667,3.728393939,3.890255909
2008-04-01,3.363636364,3.670021645,3.110418615
2008-07-01,3.25,3.627635642,2.997407598
2008-10-01,2.402173913,3.39515835,2.157325457
2009-01-01,1.189393939,2.88627212,0.932230231
2009-04-01,0.553030303,3.205125541,0.295379957
2009-07-01,0.5,3.419768398,0.240142439
2009-10-01,0.5,3.411309524,0.242409603
2010-01-01,0.5,3.466372998,0.244406289
2010-04-01,0.583333333,3.471075758,0.32829062
2010-07-01,1.015151515,3.005396825,0.766763492
2010-10-01,1.25,2.997714286,0.998112778
2011-01-01,1.25,3.31229672,0.99337958
2011-04-01,1.25,3.155877345,0.996858384
2011-07-01,1.25,2.527176768,0.999009315
2011-10-01,1.25,2.136793651,0.999819365
2012-01-01,1.25,2.035939394,0.998925938
2012-04-01,1.25,1.911463925,1.002544315
2012-07-01,1.25,1.773634465,1.000616959
2012-10-01,1.25,1.772602719,1.000526536
2013-01-01,1.25,1.916919458,1.004041467
2013-04-01,1.25,1.964984849,1.006288939
2013-07-01,1.25,2.582536796,1.000967489
2013-10-01,1.25,2.583393939,1.000810758
2014-01-01,1.25,2.469458874,0.998128101
2014-04-01,1.25,2.352857143,0.998504762
2014-07-01,1.25,2.145832612,0.999880202
2014-10-01,1.25,1.955172401,1.002478294
2015-01-01,1.053030303,1.442183869,0.807889075
2015-04-01,1,1.644984127,0.743264091
2015-07-01,0.786231884,1.480824675,0.53774886
2015-10-01,0.75,1.518785714,0.504092778
2016-01-01,0.75,1.216893939,0.504788788
2016-04-01,0.75,1.284790765,0.503073016
2016-07-01,0.75,1.059972583,0.501902893
2016-10-01,0.75,1.445373016,0.493332381
2017-01-01,0.75,1.71294468,0.492550583
2017-04-01,0.75,1.513022329,0.494396012
2017-07-01,1.043650794,1.947045455,0.794209848
2017-10-01,1.25,1.961595656,0.993561236
2018-01-01,1.456521739,2.236987924,1.198650638
2018-04-01,1.5,2.277849928,1.246376191
2018-07-01,1.723484848,2.278760538,1.472163693
2018-10-01,1.938405797,2.31805005,1.687588559
2019-01-01,2,1.857795246,1.747418049
2019-04-01,2,1.61711039,1.744848406
2019-07-01,2,1.362776335,1.746987417
2019-10-01,2,1.517848485,1.748185152
2020-01-01,1.734848485,1.202033493,1.48349992
2020-04-01,0.5,0.589835498,0.234194647
2020-07-01,0.5,0.546462482,0.236504668
2020-10-01,0.5,0.674103175,0.218582698
2021-01-01,0.5,1.133831808,0.19084238
2021-04-01,0.5,1.488396825,0.176371955
